s,A(s) (GHz),B(s) (GHz),c (normalized)
0.430,0.41148590,2.03914900,0.43043040
0.431,0.40165220,2.05375100,0.43143140
0.432,0.39181850,2.06840600,0.43243240
0.433,0.38198480,2.08311200,0.43343340
0.434,0.37215110,2.09787200,0.43443440
0.435,0.36231740,2.11268300,0.43543540
0.436,0.35248370,2.12754600,0.43643640
0.437,0.34265000,2.14246100,0.43743740
0.438,0.33385990,2.15704900,0.43843840
0.439,0.32557060,2.17150400,0.43943940
0.440,0.31728130,2.18600700,0.44044040
0.441,0.30899190,2.20055900,0.44144140
0.442,0.30070260,2.21515900,0.44244240
0.443,0.29333510,2.22938900,0.44344340
0.444,0.28653600,2.24340700,0.44444440
0.445,0.27973700,2.25746900,0.44544540
0.446,0.27293790,2.27157500,0.44644640
0.447,0.26613880,2.28572500,0.44744740
0.448,0.25933970,2.29992000,0.44844840
0.449,0.25254060,2.31415800,0.44944940
0.450,0.24574150,2.32844000,0.45045050
0.451,0.23894240,2.34276600,0.45145150
0.452,0.23214330,2.35713600,0.45245250
0.453,0.22534430,2.37155000,0.45345350
0.454,0.21854520,2.38600800,0.45445450
0.455,0.21217890,2.40029100,0.45545550
0.456,0.20671260,2.41416200,0.45645650
0.457,0.20124720,2.42807300,0.45745750
0.458,0.19578170,2.44202300,0.45845850
0.459,0.19031620,2.45601400,0.45945950
0.460,0.18494150,2.46998900,0.46046050
0.461,0.18050270,2.48343100,0.46146150
0.462,0.17609400,2.49689100,0.46246250
0.463,0.17168530,2.51038800,0.46346350
0.464,0.16727660,2.52392100,0.46446450
0.465,0.16286790,2.53749000,0.46546550
0.466,0.15845920,2.55109600,0.46646650
0.467,0.15405040,2.56473800,0.46746750
0.468,0.14964170,2.57841700,0.46846850
0.469,0.14523300,2.59213200,0.46946950
0.470,0.14082430,2.60588300,0.47047050
0.471,0.13641560,2.61967100,0.47147150
0.472,0.13202890,2.63348100,0.47247250
0.473,0.12849080,2.64676300,0.47347350
0.474,0.12500040,2.66004700,0.47447450
0.475,0.12150990,2.67336400,0.47547550
0.476,0.11801950,2.68671300,0.47647650
0.477,0.11452910,2.70009700,0.47747750
0.478,0.11137910,2.71324600,0.47847850
0.479,0.10857460,2.72615200,0.47947950
0.480,0.10577000,2.73908900,0.48048050
0.481,0.10296550,2.75205800,0.48148150
0.482,0.10016100,2.76505700,0.48248250
0.483,0.09735648,2.77808600,0.48348350
0.484,0.09455196,2.79114600,0.48448450
0.485,0.09174744,2.80423700,0.48548550
0.486,0.08894291,2.81735800,0.48648650
0.487,0.08613839,2.83051100,0.48748750
0.488,0.08333387,2.84369300,0.48848850
0.489,0.08052935,2.85690600,0.48948950
0.490,0.07811433,2.86981200,0.49049050
0.491,0.07593784,2.88253700,0.49149150
0.492,0.07376135,2.89529100,0.49249250
0.493,0.07158485,2.90807300,0.49349350
0.494,0.06940836,2.92088300,0.49449450
0.495,0.06727253,2.93367900,0.49549550
0.496,0.06548986,2.94613600,0.49649650
0.497,0.06377801,2.95854500,0.49749750
0.498,0.06206616,2.97098000,0.49849850
0.499,0.06035430,2.98344100,0.49949950
0.501,0.05864245,2.99592800,0.50050050
0.502,0.05693060,3.00844200,0.50150150
0.503,0.05521875,3.02098100,0.50250250
0.504,0.05350690,3.03354700,0.50350350
0.505,0.05179504,3.04613900,0.50450450
0.506,0.05008319,3.05875600,0.50550550
0.507,0.04837134,3.07140100,0.50650650
0.508,0.04675701,3.08395800,0.50750750
0.509,0.04540860,3.09623400,0.50850850
0.510,0.04406019,3.10853400,0.50950950
0.511,0.04271179,3.12085900,0.51051050
0.512,0.04136338,3.13320800,0.51151150
0.513,0.04001497,3.14558100,0.51251250
0.514,0.03877887,3.15781900,0.51351350
0.515,0.03773083,3.16981100,0.51451450
0.516,0.03668278,3.18182600,0.51551550
0.517,0.03563473,3.19386400,0.51651650
0.518,0.03458668,3.20592500,0.51751750
0.519,0.03353863,3.21800900,0.51851850
0.520,0.03249058,3.23011500,0.51951950
0.521,0.03144253,3.24224400,0.52052050
