s,A(s) (GHz),B(s) (GHz),C (normalized)
0.092,4.71171100,0.99791660,0.22796020
0.093,4.68001900,1.00436000,0.22918130
0.094,4.64842300,1.01082400,0.23039800
0.095,4.61725200,1.01730800,0.23159520
0.096,4.58608100,1.02381400,0.23279250
0.097,4.55491100,1.03034000,0.23398970
0.098,4.52374000,1.03688700,0.23518690
0.099,4.49256900,1.04345400,0.23638410
0.100,4.46197400,1.05004300,0.23755580
0.101,4.43174300,1.05665200,0.23871170
0.102,4.40209000,1.06328200,0.23984200
0.103,4.37310300,1.06993200,0.24094280
0.104,4.34411700,1.07660300,0.24204360
0.105,4.31529100,1.08329500,0.24313750
0.106,4.28669800,1.09000800,0.24422110
0.107,4.25810400,1.09674200,0.24530480
0.108,4.22951100,1.10349600,0.24638840
0.109,4.20091800,1.11027100,0.24747210
0.110,4.17243100,1.11706700,0.24855130
0.111,4.14450900,1.12388300,0.24960670
0.112,4.11675700,1.13072000,0.25065500
0.113,4.08934600,1.13757800,0.25168890
0.114,4.06287700,1.14445700,0.25268290
0.115,4.03640800,1.15135600,0.25367690
0.116,4.00993800,1.15827600,0.25467100
0.117,3.98371000,1.16521700,0.25565490
0.118,3.95766700,1.17217800,0.25663110
0.119,3.93162400,1.17916100,0.25760730
0.120,3.90558100,1.18616400,0.25858350
0.121,3.87953800,1.19318700,0.25955970
0.122,3.85366200,1.20023200,0.26052910
0.123,3.82837700,1.20729700,0.26147480
0.124,3.80316700,1.21438300,0.26241750
0.125,3.77795800,1.22149000,0.26336020
0.126,3.75374400,1.22861700,0.26426280
0.127,3.72975300,1.23576500,0.26515640
0.128,3.70576300,1.24293400,0.26604990
0.129,3.68177300,1.25012400,0.26694340
0.130,3.65791100,1.25733400,0.26783180
0.131,3.63428100,1.26456500,0.26871090
0.132,3.61065200,1.27181700,0.26959000
0.133,3.58702300,1.27909000,0.27046910
0.134,3.56339300,1.28638300,0.27134820
0.135,3.53984500,1.29369700,0.27222410
0.136,3.51683200,1.30103200,0.27307960
0.137,3.49391300,1.30838700,0.27393140
0.138,3.47099400,1.31576300,0.27478320
0.139,3.44808000,1.32316000,0.27563490
0.140,3.42633000,1.33057800,0.27644210
0.141,3.40462700,1.33801600,0.27724760
0.142,3.38292400,1.34547600,0.27805300
0.143,3.36122100,1.35295600,0.27885850
0.144,3.33951800,1.36045600,0.27966390
0.145,3.31818400,1.36797700,0.28045550
0.146,3.29694900,1.37552000,0.28124340
0.147,3.27571500,1.38308200,0.28203130
0.148,3.25448000,1.39066600,0.28281920
0.149,3.23324600,1.39827000,0.28360710
0.150,3.21251100,1.40589500,0.28437680
0.151,3.19218200,1.41354100,0.28513190
0.152,3.17185400,1.42120800,0.28588700
0.153,3.15152500,1.42889500,0.28664210
0.154,3.13119700,1.43660300,0.28739720
0.155,3.11140900,1.44433100,0.28813300
0.156,3.09223100,1.45208100,0.28884690
0.157,3.07305400,1.45985100,0.28956080
0.158,3.05387600,1.46764200,0.29027460
0.159,3.03469900,1.47545400,0.29098850
0.160,3.01552100,1.48328600,0.29170240
0.161,2.99639000,1.49113900,0.29241470
0.162,2.97753700,1.49901300,0.29311720
0.163,2.95868500,1.50690700,0.29381970
0.164,2.93983300,1.51482300,0.29452220
0.165,2.92098100,1.52275900,0.29522470
0.166,2.90223200,1.53071600,0.29592380
0.167,2.88401900,1.53869300,0.29660480
0.168,2.86580600,1.54669100,0.29728580
0.169,2.84759300,1.55471000,0.29796690
0.170,2.82938000,1.56275000,0.29864790
0.171,2.81116700,1.57081000,0.29932890
0.172,2.79310500,1.57889200,0.30000500
0.173,2.77592500,1.58699400,0.30065160
0.174,2.75874500,1.59511600,0.30129820
0.175,2.74156600,1.60326000,0.30194480
0.176,2.72438600,1.61142400,0.30259140
0.177,2.70720700,1.61960900,0.30323800
0.178,2.69002700,1.62781400,0.30388460
0.179,2.67284800,1.63604000,0.30453120
0.180,2.65593600,1.64428700,0.30516910
0.181,2.63909200,1.65255500,0.30580480
0.182,2.62224800,1.66084400,0.30644040
0.183,2.60540400,1.66915300,0.30707610
0.184,2.58867500,1.67748300,0.30770810
0.185,2.57248700,1.68583400,0.30832310
0.186,2.55630000,1.69420500,0.30893810
0.187,2.54011200,1.70259700,0.30955310
0.188,2.52392500,1.71101000,0.31016810
0.189,2.50773700,1.71944400,0.31078310
0.190,2.49155000,1.72789800,0.31139810
0.191,2.47536200,1.73637300,0.31201310
0.192,2.46006300,1.74486900,0.31260090
0.193,2.44483300,1.75338600,0.31318660
0.194,2.42960300,1.76192300,0.31377220
0.195,2.41437400,1.77048100,0.31435790
0.196,2.39914400,1.77906000,0.31494350
0.197,2.38391400,1.78766000,0.31552920
0.198,2.36868400,1.79628000,0.31611480
0.199,2.35345500,1.80492100,0.31670050
